level,total_xp,id,username,discriminator,avatar,message_count,XP/LEVEL,level_requirement
9,4473,356453912443617316,Orson,5780,4c6519f926a835599de024d4afaa6d85,218,753,955
9,4086,163712312799133697,Eunqet,7238,0961555e83ef52c5bbf8bef42ad19a4d,204,366,955
9,3972,439435347756056587,robloxfan787,9288,304199165576afeeb6ed9e64e68c6ab5,198,252,955
9,3817,293626204563701760,Cenpai,7126,5a06d989092283bc046363372a43600f,191,97,955
8,3623,237416746548592652,CameronEdsall,4138,abaab3fcd14d677aa6f8f2b440d01fda,181,723,820
8,3082,348332852242546689,Yea,1936,1c353f2c8364008f9e3ebd25c0ee5aa4,154,182,820
7,2669,324997818190397440,kouri,5391,368a1f5efe6d130a96079b8c47abd39e,133,464,695
7,2271,655255322545356820,allex,0975,2fa020b5bb8fe33720878dae7055e710,111,66,695
6,2159,560339920993124353,CoolStoryBro,1135,0da8b713081f02f5ae4570016357d694,108,534,580
6,1793,291107493772263435,slideshowBob,7847,,90,168,580
5,1562,453197437272850452,snoof,5069,10d3873c56556111a09f7ee0a02bf128,76,412,475
5,1560,538988877583482890,Zylan,1624,28d8e3d186d0d0c9d136360ec875a83c,78,410,475
5,1396,856248999437402162,bariqalishah,9842,2550ecd6f1620dfd5d3fb69188e21267,69,246,475
5,1236,399428231217938434,Someone,5384,ef26362c5ba7c9cac45e902120ce723b,61,86,475
5,1168,398434414469709824,helloimcute,7036,c901a00566e26d86a0400696e8cab264,58,18,475
4,1117,506960353700347914,aaaaaaaaaa,2893,f34b4228040f31af2dc2b974b48f1d33,56,347,380
4,1059,449090123808636941,ajeet,3226,,52,289,380
4,1024,749513305554419772,lillur,5524,87b129e44828f7ad16b994942a6ed1c1,51,254,380
4,956,275829481653010432,Android 17,2234,d80456d8e08e959905d3cf9b9b1e610e,47,186,380
4,775,204773903107620864,racialequality,2744,3efe9763887381cf5c94bd2ee42290cd,38,5,380
3,700,550570077687382027,letsnotgetthisbread,5197,,34,225,295
3,668,328771877935775745,parawhore,7316,1e613f761ff372e5f93d51eed4f38a32,33,193,295
3,667,315061511963803649,snickerz,7235,00af0e459a9e566d5421c0aca6c071bf,33,192,295
3,666,278408234488954882,YemotwoMobile,1681,d79fa7cab78496b3a438587aaa014005,33,191,295
3,585,259877578586718208,jackytheg0at,7533,267012f57145c538ed1a9294c7a82098,29,110,295
3,556,411071471847211008,A𝖎𝖓𝖟 𝕺𝖔𝖆𝖑 𝕽𝖆𝖈𝖍𝖔,5771,a_c20510552356c6ada602cb3b5cd01321,28,81,295
3,553,863611510784917566,PoPanda,7098,8b4801dd3de5f5310122784128d068ad,27,78,295
3,548,721892332655607878,I'm an essential service,4160,bb48ca40a0c907c26ba28d34420ead3a,27,73,295
3,538,197925417749970946,Tweeetch,0919,95c58a2702daf650cc69a965c02b29c9,27,63,295
3,532,435690925377847299,t a n g e r i n e🌟,6253,790cffebcc48ed0eafd4ac8c4f15c864,26,57,295
3,528,582773872080977931,I luve KFC cuz Im blac,0166,1b0b482dc70ff6b04546371e40b77407,26,53,295
3,477,866491810670444544,nev<3,7958,1036f80ae97e9184d11dde7e98eca059,26,2,295
2,469,299447034807844866,Nihil Boni,4591,09f1e3e269c6acfd25d3088fd1073f90,23,214,220
2,467,554053133211533313,N0,7156,f6dd23ac96fe5531a08e1923fc5dec47,23,212,220
2,461,546234289004609536,Chris bester,0161,074aa8716492dae62f9697c9d7548950,23,206,220
2,406,460320298328260637,Glacies,7492,90b20d78eff07bbcb5c932f5b4005123,20,151,220
2,394,565367591061946369,claire,7857,8e5a746360cfa1a49310c470f81bd9e8,19,139,220
2,390,427358565511069696,fallonobviously,4115,76fda916da4355368495f0c15ae8aec0,19,135,220
2,373,522591306938187777,ajeetskeet,7678,,18,118,220
2,352,545026614384394280,CodeMan1131,9559,a2e54b38610940b08082b24d0d2007ed,17,97,220
2,316,405938949190713345,epic,9841,9c1d552bc9e4cf257e02793a42ed1aaf,16,61,220
2,311,435569815218814979,andrew13791,1140,,15,56,220
2,307,578756932924604427,bigblack,5031,79e34144af5b05ed443929f3ba942956,15,52,220
2,281,506357585633345536,pussiboiowen,3234,52e54e80aa288624198153fa5f87492a,14,26,220
2,277,461834165629747211,amy_per,0548,f7656ad98b6184a03808af9637e6c6db,13,22,220
